language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
Persian,10390,13363,-28.614051973051012,32226,37435,-16.163966983181282
Galician,7029,6624,5.761843790012804,35190,30447,13.478260869565217
Bulgarian,16134,15046,6.743522994917566,25938,22648,12.684092836764593
Esperanto,5257,4659,11.375309111660643,35459,29620,16.466905440085732
Hawaiian,3676,3236,11.969532100108815,36322,31125,14.30813281206982
Norwegian,4194,4121,1.7405817835002384,28359,25470,10.187242145350682
Malay,3483,3182,8.641975308641975,25043,22067,11.883560276324722
Occitan,1680,1566,6.785714285714286,26532,21961,17.22825267601387
Thai,5545,6913,-24.67087466185753,20006,22683,-13.380985704288713
Croatian,4219,4141,1.8487793315951648,20863,19880,4.711690552653022
